Gene	DPKM	RPKM		Gene	DPKM	RPKM
argH	1173.34378	1163.0875		argH	1493.4116422236	1369.48715117204
argI	498.25983	399.38739		argI	575.87507489648	595.234326585037
argO	57.61058	74.12336		argK	17.6084474343119	15.8827044549057
argP	150.27725	136.19235		argO	82.7264794555406	86.3307470119414
argQ	158.61613	0.4068		argP	235.409579121807	230.075674870957
argR	129.65437	125.89411		argQ	227.766410968501	47.8704031383262
argS	162.00067	193.39883		argR	223.414186555091	212.60489376827
argT	265.17052	229.70853		argS	232.626478561255	249.884344092614
argU	317.23226	93.97167		argT	134.390909153828	152.701542194838
argV	793.08066	463.7563		argU	911.065643874006	419.364677493045
argX	4599.86781	4105.46363		argV	911.065643874006	617.328740471331
argY	317.23226	290.86469		argX	7060.75874002355	6147.35760301339
arnA	1034.72429	1089.82812		argY	683.299232905504	442.302578996826
arnB	1328.92375	1403.35356		argZ	227.766410968501	59.8380039229077
arnC	1235.2088	1326.85283		arnA	1353.15990298533	1426.09483610527
arnD	657.96321	685.32875		arnB	1711.39511384882	1687.10530585503
arnE	181.74765	256.09145		arnC	1574.62042010113	1658.12302748681
arnF	284.03354	274.38756		arnD	826.707713885672	789.769309183736
arnT	310.32339	328.55028		arnE	260.982345901408	165.582976480421
aroA	313.89688	299.21146		arnF	271.907188287978	308.061351591481
aroB	605.62523	525.08505		arnT	381.95311022667	460.613261594712
aroC	326.14164	318.19996		aroA	341.472228282216	354.086960947161
aroD	112.64044	136.31464		aroB	773.025394802187	653.93166761845
aroE	74.56314	93.85693		aroC	371.431228200015	370.31330945225
aroF	262.28681	237.51756		aroD	46.2134746892612	58.4793632541267
aroG	487.14584	417.8601		aroE	107.069680369808	79.7925291627264
aroH	233.30357	230.6659		aroF	114.627540160618	100.095031398711
aroK	538.14017	529.0257		aroG	516.313792005521	539.87839845171
aroL	186.10959	292.65463		aroH	268.011669831131	264.188311684721
aroP	80.00071	85.05781		aroK	940.736364076799	973.876887600989
arsB	18.93557	21.22254		aroL	200.434441652281	253.779623304154
arsC	28.67005	49.92705		aroP	153.170424843446	199.217946430213
arsR	34.50125	49.021		arsC	41.1690461140249	63.3624998112465
artI	583.97606	679.41175		artI	670.852980940013	715.047797697348
artJ	583.97606	607.09294		artJ	622.934910872869	705.60614543902
artM	365.12532	319.55987		artM	262.152670322491	197.49001003241
artP	686.90141	665.7938		artP	505.2102695968	526.800160873835
artQ	391.78406	394.14803		artQ	440.284861370074	426.212248234851
ascB	17.14167	0.32973		ascF	24.0576318855619	20.8834496887098
ascF	16.75369	24.2556		ascG	69.1834857774147	59.7145708280306
ascG	48.17926	53.25679		asd	254.174110790936	280.423343701247
asd	586.33372	490.96793		aslA	10.5905879496224	17.8532369796155
aslB	29.64428	23.51826		asmA	189.191085701992	181.04546445812
asmA	98.81426	77.70149		asnA	70.646580642798	78.9187746098725
asnA	49.19816	45.77136		asnB	105.33341528273	97.1777569414277
asnB	168.71422	163.46744		asnC	38.2091800535395	59.8944958656091
asnC	79.82642	57.5295		asnS	1539.73995594766	1487.55241864992
asnS	1220.47245	1227.17656		asnT	230.763337428613	64.6670358184406
aspA	1240.89252	1352.70378		asnU	923.053349714453	353.647852132097
aspC	1343.37609	1371.88645		asnW	230.763337428613	216.230401017911
aspS	323.76299	293.76968		aspA	1354.71086607361	1269.74169218498
aspT	951.69679	403.95614		aspC	1163.31072873333	1174.44852493834
astA	118.00427	131.19716		aspS	375.885233217053	381.946519033187
astB	45.43691	53.53495		aspT	911.065643874006	445.793129225663
astC	60.01691	75.80843		aspV	227.766410968501	59.3393538902168
astD	66.06324	51.97351		asr	56.7573257105975	0.37277720890485
atl	62.63304	76.62305		astA	50.8348221581873	46.2236535617682
atoB	10.3067	17.44622		astB	26.0982345901408	31.7681624993493
atoC	8.81201	14.03473		astC	100.545532769879	95.9115152968529
atoS	6.68497	13.61312		astD	35.5740641877781	39.8238976074263
atpA	3849.37281	4067.16946		atl	89.9385315106391	149.153896316812
atpB	1167.46138	1188.11976		atoA	26.9401131253066	36.1548082842443
atpC	3954.82888	3481.79955		atoC	37.9610684947503	29.1156213532296
atpD	3179.20402	3349.91225		atoE	13.2562461410239	16.5134949979488
atpE	3256.9179	3360.00928		atoS	19.1987013076898	11.2645233438526
atpF	4823.14275	5133.26069		atpA	4708.64957772626	4880.85539965228
atpG	2996.81682	3079.965		atpB	1633.44244728881	1698.64889199864
atpH	1601.01301	1865.23794		atpC	4468.0177618321	4639.43159332223
atpI	705.23813	525.84672		atpD	3981.8772844515	4182.50448862514
avtA	204.53133	194.06324		atpE	4238.35329743887	4248.04326037162
azoR	100.77097	100.84639		atpF	5473.64757059972	5905.65526232691
azuC	280.76878	146.17815		atpG	4161.21851520578	4142.19636467085
b0100	452.34971	181.91059		atpH	1970.56333085108	1843.58574258612
b0105	339.26228	467.53806		atpI	690.472978132859	845.922479867112
b0725	2012.17629	1938.1207		avtA	405.584047601805	464.457512466821
bacA	89.14921	73.2034		azoR	202.584316026439	212.635564765215
baeR	67.57091	59.74501		b0100	129.911212182034	11.9454385609064
bamA	652.58836	648.31312		b0105	487.167045682628	565.630736619109
bamB	559.3943	569.96727		b0725	3225.38181969188	3211.43994808604
bamC	790.62862	716.84798		bacA	106.678915112984	141.5796048414
bamD	794.37022	919.81033		baeR	145.543681697715	125.650152497501
barA	22.14988	29.76735		bamA	800.131325338176	878.721989399986
basR	1131.88851	985.27447		bamB	669.38983376239	574.605556075879
basS	570.40801	547.65175		bamC	1016.69644316375	830.838639782794
bax	429.321	484.05852		bamD	712.927383925797	797.680592403383
bcp	1296.54375	1289.99893		barA	31.806335953164	46.4317878463337
bcr	92.29301	82.68876		basR	1468.05495380595	1582.10102195682
bcsA	41.97059	36.02427		basS	433.632205497724	406.709834676229
bcsB	57.41362	75.0167		bax	403.905768784143	440.879764236882
bcsC	31.64104	35.07482		bcp	1191.54232829382	1280.43905920944
bcsE	54.38556	59.93783		bcr	88.3527135746832	108.418072724887
bcsF	63.61168	75.37311		bcsA	20.089362708562	16.4491679741495
bcsG	14.53981	15.36362		bcsB	29.9795105035464	23.7267914272948
bcsZ	44.13168	36.81335		bcsC	55.5319948446519	39.65602660671
betA	211.96279	184.13798		bcsE	66.938983376239	84.5836703988935
betB	281.91245	232.09025		bcsF	91.3438210654928	157.983757753059
betI	249.25392	211.43626		bcsG	73.0750568523942	84.7227182626531
betT	66.05106	67.31402		bcsZ	15.8428307539066	9.64236910549355
bfr	51.2094	50.89311		betA	293.874555384853	274.930441872105
bglA	76.33401	70.50051		betB	297.65807271851	292.831808539182
bglB	8.64362	13.41186		betI	417.571753442253	344.976777973406
bglF	19.51029	19.96523		betT	77.6018302857284	78.1890115664891
bglH	7.55315	18.34491		bfd	89.9385315106391	126.214716223203
bglX	180.70367	189.72899		bglA	73.0750568523942	69.6995008888601
bhsA	47.33892	9.83424		bglB	12.4118992530606	20.2985500568632
bioA	9.46778	8.69299		bglH	10.8460195699286	10.9703007191998
bioB	23.46483	36.74012		bglJ	28.1057910970747	13.8447304749516
bioF	10.57441	6.64446		bglX	198.428352810679	204.561736713694
bioH	95.04624	119.12016		bioB	33.6945507100377	41.8262474106665
birA	75.85989	87.90794		bioC	23.1984307467918	17.5220080931663
bisC	78.49256	73.81379		bioD	51.7345535238189	40.2082555858575
blc	45.74323	14.84072		bioH	90.9883976372224	87.9473783986688
bolA	115.22115	116.92282		birA	54.4658808837721	73.8110450563548
borD	332.33856	197.74537		bisC	52.5990126443969	31.9638089292707
brnQ	175.79955	202.77473		blc	98.528166542554	52.4889856508527
bssS	431.06266	254.03061		bolA	330.905917822163	388.910959616033
btuB	19.85926	2.63155		borD	1014.10282978833	789.208657691953
btuC	12.44999	14.01752		brnQ	132.863739731626	134.211656298755
btuD	32.56918	32.9945		bsmA	106.290991785301	71.9053347140275
btuE	66.3774	91.58833		bssS	550.212192770968	692.935818369217
btuF	91.48646	75.31812		btuB	38.0227938093759	28.5317008135935
btuR	103.32861	110.93215		btuC	53.6330692494637	28.1805890034489
cadA	11.37192	17.79104		btuD	116.920090963831	132.543173289371
cadC	7.93596	13.88102		btuE	158.858819244335	148.228238974912
caiA	10.68543	7.50896		btuF	43.7902962411351	34.321565046585
caiT	8.06168	14.63849		btuR	89.02544997246	141.889980875741
can	1657.93332	1545.64263		C0664	155.203660571457	142.031415506099
carA	637.77766	665.10787		cadA	8.16481082149656	11.2792873083578
carB	542.06152	481.87459		caiD	22.3129944587463	36.8817043899305
cbl	25.68547	43.60971		can	1772.31812094495	1667.07204790361
cbpA	66.30533	47.17289		carA	1068.46036128827	1020.35253921685
cbpM	39.91321	42.48175		carB	751.162595577684	645.737708798718
cbrC	20.77116	29.0332		cbl	18.4416547261563	33.1070063765545
cca	197.14999	221.01166		cbpA	57.1270802754874	52.7372491142854
ccmC	16.54938	33.78566		cbpM	57.3137700803092	31.1183693603444
ccmD	58.15925	60.55952		cbrB	37.4743881294329	61.4500925969704
ccmF	6.28263	12.7777		cca	325.564417938028	326.567878471545
ccmG	21.88789	21.44395		ccmB	26.452509267835	42.044546195304
ccmH	11.59871	0.08924		ccmE	36.5375284261971	3.75961347564241
cdd	96.6035	53.05594		ccmH	16.6552836130813	22.4615084051231
cdh	80.77673	65.34097		cdd	99.0848228507041	117.487582165622
cdsA	170.81737	199.40686		cdh	185.587445974335	179.333943701363
cedA	100.52216	39.31599		cdsA	183.965178089944	161.012816966063
cfa	201.96292	254.65314		cedA	72.1728956566857	113.608073085869
chaA	122.02349	144.35733		cfa	228.955791704629	186.56671993344
chaC	51.10227	16.16435		chaA	79.6458385312199	85.7197975361267
chbA	34.79613	15.79581		chaC	24.4602700761152	18.1002311726824
